,Val1,Val2,Val3,T12,fpeak,gain,fimg,img
398,26.82,6.3,26.7,2.4,431000000,12.062934757398,331000000,74.1676059065
399,26.82,6.3,26.7,2.5,434000000,11.831413106546,334000000,72.503001417719
400,26.82,6.3,26.7,2.6,437000000,11.590570129861,337000000,70.950203151878
402,26.82,6.3,26.82,2.2,424000000,12.64654110824,324000000,77.284507320131
403,26.82,6.3,26.82,2.3,427000000,12.430817802975,327000000,75.408088517559
404,26.82,6.3,26.82,2.4,430000000,12.208122333441,330000000,73.677793127303
405,26.82,6.3,26.82,2.5,433000000,11.977542525825,333000000,72.069387037679
406,26.82,6.3,26.82,2.6,436000000,11.737898776716,336000000,70.56362626581
408,26.82,6.3,26.94,2.2,423000000,12.792225453768,323000000,76.724284047099
409,26.82,6.3,26.94,2.3,426000000,12.576605275063,326000000,74.91943128497
410,26.82,6.3,26.94,2.4,429000000,12.354412964191,329000000,73.248010323193
411,26.82,6.3,26.94,2.5,432000000,12.124650700732,332000000,71.688674044665
412,26.82,6.3,26.94,2.6,435000000,11.886058629226,335000000,70.224236259941
