,Val1,Val2,Val3,T12,fpeak,gain,fimg,img
504,26.94,5.94,26.7,1,390000000,14.099165459018,290000000,95.960667162553
505,26.94,5.94,26.7,1.1,394000000,13.988566281143,294000000,96.72115558786
506,26.94,5.94,26.7,1.2,397000000,13.891496974499,297000000,102.379891131925
507,26.94,5.94,26.7,1.3,400000000,13.77354484571,300000000,109.681590596651
508,26.94,5.94,26.7,1.4,403000000,13.638440021223,303000000,114.200467081613
510,26.94,5.94,26.82,1,389000000,14.251759394434,289000000,98.832869474662
511,26.94,5.94,26.82,1.1,393000000,14.158939394637,293000000,99.798323074286
512,26.94,5.94,26.82,1.2,396000000,14.053829784223,296000000,106.331587627601
513,26.94,5.94,26.82,1.3,399000000,13.929138994126,299000000,114.381632525516
514,26.94,5.94,26.82,1.4,402000000,13.788552693099,302000000,116.765735892569
516,26.94,5.94,26.94,1,389000000,14.420943793708,289000000,97.717707960243
517,26.94,5.94,26.94,1.1,392000000,14.329991660091,292000000,103.345516469585
518,26.94,5.94,26.94,1.2,395000000,14.21664112599,295000000,111.030108205458
519,26.94,5.94,26.94,1.3,398000000,14.085070535177,298000000,119.000821446607
520,26.94,5.94,26.94,1.4,401000000,13.938907322546,301000000,115.158618957116
522,26.94,5.94,27.06,1,388000000,14.602098090681,288000000,100.920744825129
523,26.94,5.94,27.06,1.1,391000000,14.50126388698,291000000,107.552528120539
524,26.94,5.94,27.06,1.2,394000000,14.379484310403,294000000,116.513907354363
525,26.94,5.94,27.06,1.3,397000000,14.240910760616,297000000,119.979527444416
526,26.94,5.94,27.06,1.4,400000000,14.089098056701,300000000,110.951509659394
528,26.94,5.94,27.18,1,387000000,14.783060493088,287000000,104.669035683316
529,26.94,5.94,27.18,1.1,390000000,14.67208078763,290000000,112.64055305718
530,26.94,5.94,27.18,1.2,393000000,14.541698022727,293000000,120.698365428827
531,26.94,5.94,27.18,1.3,396000000,14.39601880038,296000000,116.35294210662
532,26.94,5.94,27.18,1.4,399000000,14.238510362986,299000000,107.192803574047
534,26.94,5.94,27.3,1,386000000,14.962866255708,286000000,109.194897495992
535,26.94,5.94,27.3,1.1,389000000,14.841485917563,289000000,117.960830824953
536,26.94,5.94,27.3,1.2,392000000,14.702342824915,292000000,119.754461031165
537,26.94,5.94,27.3,1.3,395000000,14.549479730308,295000000,112.314456537213
538,26.94,5.94,27.3,1.4,398000000,14.386260788624,298000000,104.15346372505
540,26.94,6.06,26.7,1,389000000,14.249182982005,289000000,100.29479591077
541,26.94,6.06,26.7,1.1,393000000,14.136975095826,293000000,101.427397163768
542,26.94,6.06,26.7,1.2,396000000,14.032778310073,296000000,108.595676320723
543,26.94,6.06,26.7,1.3,399000000,13.907221807717,299000000,114.953222666317
544,26.94,6.06,26.7,1.4,402000000,13.764325620697,302000000,114.555432044317
546,26.94,6.06,26.82,1,388000000,14.401460103749,288000000,103.701089288503
547,26.94,6.06,26.82,1.1,392000000,14.309857615355,292000000,105.127362144216
548,26.94,6.06,26.82,1.2,395000000,14.196917613544,295000000,113.335643534278
549,26.94,6.06,26.82,1.3,398000000,14.064003573222,298000000,118.302810510872
550,26.94,6.06,26.82,1.4,401000000,13.915093724367,301000000,112.988792467774
552,26.94,6.06,26.94,1,388000000,14.582271034904,288000000,102.282370147874
553,26.94,6.06,26.94,1.1,391000000,14.483330714278,291000000,109.507572076867
554,26.94,6.06,26.94,1.2,394000000,14.361366757439,294000000,118.589776271469
555,26.94,6.06,26.94,1.3,397000000,14.220884975038,297000000,118.302011284778
556,26.94,6.06,26.94,1.4,400000000,14.065807676614,300000000,108.922836361843
558,26.94,6.06,27.06,1,387000000,14.766572368724,287000000,106.155115764244
559,26.94,6.06,27.06,1.1,390000000,14.656774372826,290000000,114.777731578666
